,experience_coding,python_user,r_user,sql_user,most_used,compensation,category
8025,0.47,True,True,True,TensorFlow,53766,< 5 Years
8026,3.9,True,False,True,Scikit-learn,28268,< 5 Years
8027,1.5,True,True,True,,63975,< 5 Years
8028,3.1,True,False,True,PyTorch,20284,< 5 Years
8029,1.3,True,False,False,TensorFlow,61545,< 5 Years
8030,4.2,True,False,True,Scikit-learn,24149,< 5 Years
8031,27.5,False,False,False,TensorFlow,222260,25+ Years
8032,1.1,True,True,True,,3950,< 5 Years
8033,22.2,True,False,False,TensorFlow,134874,20-25 Years
8034,4.5,True,True,True,,67363,< 5 Years
8035,0.89,False,False,False,,85004,< 5 Years
8036,1.4,True,False,True,PyTorch,23700,< 5 Years
8037,3.0,True,False,False,,69839,< 5 Years
8038,27.9,True,False,False,TensorFlow,116699,25+ Years
8039,1.5,True,False,False,,43395,< 5 Years
8040,2.2,False,False,False,PyTorch,15918,< 5 Years
8041,14.6,False,False,False,,714,10-15 Years
8042,2.4,True,False,False,Scikit-learn,694,< 5 Years
8043,1.7,True,False,True,Scikit-learn,63495,< 5 Years
8044,1.7,True,False,False,,65449,< 5 Years
8045,7.6,True,True,True,,62760,5-10 Years
8046,18.6,True,False,False,,60742,15-20 Years
8047,21.5,True,False,False,PyTorch,8880,20-25 Years
8048,0.0,False,False,False,,18419,< 5 Years
8049,0.3,True,False,True,TensorFlow,834,< 5 Years
8050,0.89,True,False,False,TensorFlow,71547,< 5 Years
8051,3.3,True,False,False,Scikit-learn,51084,< 5 Years
8052,2.1,True,False,True,,55566,< 5 Years
8053,6.7,True,False,False,,73186,5-10 Years
8054,4.3,True,False,False,TensorFlow,64069,< 5 Years
8055,26.2,True,True,True,Keras,74559,25+ Years
8056,0.63,True,False,True,,150,< 5 Years
8057,0.23,True,True,False,TensorFlow,301,< 5 Years
8058,19.7,True,False,True,Keras,35142,15-20 Years
8059,25.4,True,False,False,Keras,333462,25+ Years
8060,13.6,True,True,True,PyTorch,1373,10-15 Years
8061,1.4,True,True,True,,55998,< 5 Years
8062,0.4,True,False,False,Keras,488,< 5 Years
8063,1.2,True,False,True,Scikit-learn,53946,< 5 Years
8064,1.6,True,False,True,Scikit-learn,4718,< 5 Years
8065,8.6,True,False,False,Keras,74938,5-10 Years
8066,0.5,True,False,False,,54263,< 5 Years
8067,8.2,True,False,False,,14230,5-10 Years
8068,0.0,False,False,False,,1920,< 5 Years
8069,0.0,False,False,False,,905,< 5 Years
8070,1.0,True,True,False,TensorFlow,61369,< 5 Years
8071,8.0,True,False,False,Keras,2809,5-10 Years
8072,2.6,True,True,False,Scikit-learn,60687,< 5 Years
8073,6.4,True,False,False,TensorFlow,28426,5-10 Years
8074,0.26,True,False,True,,69179,< 5 Years
8075,16.2,False,True,False,,72176,15-20 Years
8076,14.0,True,False,False,Scikit-learn,62012,10-15 Years
8077,0.63,True,False,True,,381,< 5 Years
8078,0.62,True,False,True,Scikit-learn,62246,< 5 Years
8079,2.6,True,True,True,,630,< 5 Years
8080,0.62,True,False,False,,50583,< 5 Years
8081,0.74,True,True,True,Scikit-learn,67418,< 5 Years
8082,1.9,True,False,False,Keras,68559,< 5 Years
8083,3.7,True,False,True,Scikit-learn,746,< 5 Years
8084,1.0,True,False,True,TensorFlow,64290,< 5 Years
8085,0.25,True,False,False,Scikit-learn,52169,< 5 Years
8086,0.0,False,False,False,,750,< 5 Years
8087,0.74,True,False,False,,59172,< 5 Years
8088,0.27,True,False,False,,60436,< 5 Years
8089,4.9,True,False,True,,68313,< 5 Years
8090,0.62,True,True,True,PyTorch,513,< 5 Years
8091,4.5,True,False,False,TensorFlow,44202,< 5 Years
8092,9.7,False,False,False,TensorFlow,120286,5-10 Years
8093,19.2,True,True,True,TensorFlow,157081,15-20 Years
8094,2.2,True,False,False,Scikit-learn,13129,< 5 Years
8095,4.0,True,False,True,,50771,< 5 Years
8096,0.0,False,False,False,,831,< 5 Years
8097,0.0,False,False,False,,393,< 5 Years
8098,7.2,True,False,True,Keras,27394,5-10 Years
8099,1.4,True,False,False,,61523,< 5 Years
8100,4.1,True,True,False,Keras,87889,< 5 Years
8101,29.9,True,False,False,TensorFlow,14832,25+ Years
8102,4.5,True,False,False,Keras,914,< 5 Years
8103,0.23,True,False,False,Scikit-learn,61749,< 5 Years
8104,0.45,False,False,True,,63329,< 5 Years
8105,29.6,True,False,True,PyTorch,216,25+ Years
8106,17.3,True,True,False,TensorFlow,9631,15-20 Years
8107,1.1,True,False,False,Scikit-learn,4951,< 5 Years
8108,0.0,False,False,False,,82404,< 5 Years
8109,0.0,False,False,False,,373,< 5 Years
8110,0.49,True,False,False,TensorFlow,73481,< 5 Years
8111,5.1,True,False,False,PyTorch,39074,5-10 Years
8112,2.9,True,False,False,Keras,65719,< 5 Years
8113,2.1,True,False,False,Keras,59374,< 5 Years
8114,23.8,True,False,True,TensorFlow,118898,20-25 Years
8115,3.0,True,False,False,PyTorch,332,< 5 Years
8116,0.82,True,False,False,TensorFlow,56691,< 5 Years
8117,6.4,True,False,True,,19173,5-10 Years
8118,2.8,True,False,True,Keras,53687,< 5 Years
8119,1.2,True,False,True,Scikit-learn,85431,< 5 Years
8120,0.33,True,False,True,,57368,< 5 Years
8121,0.47,True,False,False,Scikit-learn,1770,< 5 Years
8122,28.7,True,True,True,Scikit-learn,63049,25+ Years
8123,5.1,True,False,True,,55103,5-10 Years
8124,14.7,True,False,False,,8660,10-15 Years
8125,16.3,True,False,False,Scikit-learn,56647,15-20 Years
8126,3.0,True,False,False,Scikit-learn,62227,< 5 Years
8127,23.5,True,False,False,PyTorch,159509,20-25 Years
8128,0.93,True,False,False,Scikit-learn,66384,< 5 Years
8129,0.59,True,False,False,Scikit-learn,53235,< 5 Years
8130,3.2,True,False,False,Scikit-learn,16062,< 5 Years
8131,19.6,True,False,True,PyTorch,11746,15-20 Years
8132,0.99,True,False,False,,686,< 5 Years
8133,0.28,True,False,False,,16729,< 5 Years
8134,1.1,True,False,False,PyTorch,62518,< 5 Years
8135,5.5,True,False,False,Scikit-learn,16595,5-10 Years
8136,0.47,False,False,False,,422,< 5 Years
8137,2.1,True,False,True,,87065,< 5 Years
8138,0.99,True,False,True,Scikit-learn,15744,< 5 Years
8139,22.5,True,False,False,Scikit-learn,117850,20-25 Years
8140,7.3,True,True,True,PyTorch,12163,5-10 Years
8141,1.3,True,False,True,TensorFlow,66951,< 5 Years
8142,1.0,True,False,False,,66856,< 5 Years
8143,10.3,True,False,True,Scikit-learn,5200,10-15 Years
8144,2.6,True,True,False,Keras,56713,< 5 Years
8145,23.3,True,True,True,Scikit-learn,651,20-25 Years
8146,3.3,True,False,True,Keras,61383,< 5 Years
8147,0.95,True,False,True,Keras,2467,< 5 Years
8148,0.45,True,False,False,Keras,54548,< 5 Years
8149,0.34,True,False,False,Scikit-learn,69492,< 5 Years
8150,1.5,True,False,False,,72920,< 5 Years
8151,1.4,True,False,False,Scikit-learn,63513,< 5 Years
8152,0.86,True,True,True,,74041,< 5 Years
8153,0.33,True,False,False,Scikit-learn,61453,< 5 Years
8154,2.1,True,False,True,,55365,< 5 Years
8155,1.5,True,False,True,,70548,< 5 Years
8156,26.6,True,False,True,Scikit-learn,95683,25+ Years
8157,0.34,True,False,False,,123094,< 5 Years
8158,8.9,True,True,True,,803727,5-10 Years
8159,9.0,True,False,False,Scikit-learn,52904,5-10 Years
8160,2.0,True,False,False,Scikit-learn,23349,< 5 Years
8161,0.7,True,False,False,,67114,< 5 Years
8162,0.74,True,False,False,,67979,< 5 Years
8163,1.1,False,False,False,,12044,< 5 Years
8164,4.4,True,False,False,Keras,4544,< 5 Years
8165,2.2,True,False,False,Scikit-learn,70785,< 5 Years
8166,10.0,True,False,False,,1104900,5-10 Years
8167,3.1,True,False,False,Scikit-learn,72895,< 5 Years
8168,18.5,False,False,True,PyTorch,65013,15-20 Years
8169,10.1,False,True,False,TensorFlow,22256,10-15 Years
8170,6.0,True,False,False,PyTorch,37628,5-10 Years
8171,0.62,True,False,True,Scikit-learn,43996,< 5 Years
8172,3.0,False,False,False,,50744,< 5 Years
8173,3.8,True,False,False,Keras,70472,< 5 Years
8174,3.0,False,True,False,Scikit-learn,74096,< 5 Years
8175,2.8,True,False,False,TensorFlow,55812,< 5 Years
8176,22.3,True,True,True,Scikit-learn,233863,20-25 Years
8177,7.7,True,True,False,Scikit-learn,2255,5-10 Years
8178,0.0,False,False,False,,33,< 5 Years
8179,1.3,True,False,False,PyTorch,55216,< 5 Years
8180,2.5,True,False,True,Scikit-learn,83478,< 5 Years
8181,4.7,True,False,False,Keras,64410,< 5 Years
8182,6.4,True,True,False,TensorFlow,2755,5-10 Years
8183,1.1,True,False,True,,488,< 5 Years
8184,2.8,True,False,False,TensorFlow,510,< 5 Years
8185,0.9,True,True,False,Scikit-learn,60924,< 5 Years
8186,0.29,False,False,True,,70632,< 5 Years
8187,18.1,True,False,False,Keras,119981,15-20 Years
8188,22.5,True,True,False,Keras,385,20-25 Years
8189,4.8,True,False,True,Scikit-learn,54877,< 5 Years
8190,1.2,True,False,True,,51393,< 5 Years
8191,25.7,True,False,True,Scikit-learn,71875,25+ Years
8192,1.9,True,False,False,Scikit-learn,12823,< 5 Years
8193,2.2,True,False,False,TensorFlow,18005,< 5 Years
8194,0.71,True,True,True,Scikit-learn,51092,< 5 Years
8195,16.4,True,True,True,Keras,171866,15-20 Years
8196,1.4,True,False,True,Scikit-learn,2456,< 5 Years
8197,13.2,True,True,False,TensorFlow,1986,10-15 Years
8198,0.63,False,False,False,,404,< 5 Years
8199,4.8,True,False,False,TensorFlow,56626,< 5 Years
8200,8.8,True,False,False,Scikit-learn,6707,5-10 Years
8201,4.0,True,False,False,Keras,13513,< 5 Years
8202,0.97,True,False,True,,467,< 5 Years
8203,19.1,True,False,True,Scikit-learn,35967,15-20 Years
8204,2.8,True,True,False,Scikit-learn,19383,< 5 Years
8205,16.8,True,True,True,Keras,198579,15-20 Years
8206,0.0,False,False,False,,30239,< 5 Years
8207,10.0,True,False,True,Scikit-learn,265025,5-10 Years
8208,28.6,False,True,False,TensorFlow,46699,25+ Years
8209,18.8,True,False,True,TensorFlow,203944,15-20 Years
8210,8.4,True,False,True,Scikit-learn,30968,5-10 Years
8211,0.71,True,False,False,PyTorch,60470,< 5 Years
8212,0.65,True,False,False,,50101,< 5 Years
8213,4.5,True,False,True,Scikit-learn,30556,< 5 Years
8214,1.0,False,False,False,,23551,< 5 Years
8215,2.4,False,False,True,,65851,< 5 Years
8216,3.8,True,False,False,Scikit-learn,56332,< 5 Years
8217,9.6,True,True,False,TensorFlow,45507,5-10 Years
8218,8.5,True,False,True,,7223,5-10 Years
8219,14.1,True,False,True,Scikit-learn,184922,10-15 Years
8220,3.7,True,False,False,TensorFlow,58024,< 5 Years
8221,3.2,True,True,True,Keras,7856,< 5 Years
8222,16.0,True,False,True,,47143,15-20 Years
8223,17.5,False,False,False,,39782,15-20 Years
8224,3.1,True,False,True,TensorFlow,9005,< 5 Years
8225,0.8,True,False,False,Scikit-learn,65879,< 5 Years
8226,1.8,True,True,False,Keras,56984,< 5 Years
8227,1.4,True,False,False,,19711,< 5 Years
8228,23.5,True,True,True,Scikit-learn,653,20-25 Years
8229,0.0,False,False,False,,61,< 5 Years
8230,3.8,True,False,True,PyTorch,7438,< 5 Years
8231,0.99,True,False,False,PyTorch,62023,< 5 Years
8232,1.7,True,False,True,Scikit-learn,667,< 5 Years
8233,3.5,True,False,False,Scikit-learn,1297,< 5 Years
8234,0.2,False,False,False,,409,< 5 Years
8235,4.7,True,False,True,,17589,< 5 Years
8236,0.85,True,False,False,PyTorch,1502,< 5 Years
8237,2.0,True,False,True,,70936,< 5 Years
8238,9.3,True,False,True,Scikit-learn,24713,5-10 Years
8239,1.9,True,True,True,,71446,< 5 Years
8240,1.9,True,False,False,Scikit-learn,56860,< 5 Years
8241,7.5,True,True,True,TensorFlow,86544,5-10 Years
8242,0.43,True,True,False,,71069,< 5 Years
8243,0.49,True,False,False,Keras,7221,< 5 Years
8244,3.4,True,True,True,Scikit-learn,106491,< 5 Years
8245,23.9,True,True,True,,41721,20-25 Years
8246,2.9,True,True,False,Scikit-learn,1230,< 5 Years
8247,16.9,True,False,True,,6419,15-20 Years
8248,10.4,True,False,False,PyTorch,402597,10-15 Years
8249,4.9,True,False,True,,52564,< 5 Years
8250,4.5,True,False,True,Scikit-learn,1557,< 5 Years
8251,8.7,True,False,False,PyTorch,36567,5-10 Years
8252,0.5,True,False,False,,50536,< 5 Years
8253,2.9,True,True,True,,64467,< 5 Years
8254,16.5,True,False,True,Scikit-learn,181405,15-20 Years
8255,2.8,True,False,True,Scikit-learn,30949,< 5 Years
8256,1.7,True,True,True,Scikit-learn,17302,< 5 Years
8257,3.5,True,False,True,Scikit-learn,58761,< 5 Years
8258,7.1,True,False,True,Scikit-learn,1648,5-10 Years
8259,7.4,False,False,False,,115890,5-10 Years
8260,4.8,True,False,True,,23187,< 5 Years
8261,26.3,True,False,False,,40704,25+ Years
8262,0.0,False,False,False,,679,< 5 Years
8263,1.1,True,True,True,Scikit-learn,2682,< 5 Years
8264,0.48,True,False,False,,63944,< 5 Years
8265,6.2,False,False,False,Scikit-learn,15246,5-10 Years
8266,23.0,True,False,True,TensorFlow,632,20-25 Years
8267,3.2,True,False,True,Scikit-learn,54983,< 5 Years
8268,9.6,True,False,False,Scikit-learn,120642,5-10 Years
8269,0.0,False,False,False,,2255,< 5 Years
8270,4.8,True,False,True,Scikit-learn,73424,< 5 Years
8271,0.35,True,False,True,Keras,74750,< 5 Years
8272,7.0,True,False,True,PyTorch,29071,5-10 Years
8273,0.0,False,False,False,,1881,< 5 Years
8274,0.65,True,False,True,PyTorch,43280,< 5 Years
8275,4.9,False,True,True,TensorFlow,51541,< 5 Years
8276,2.9,True,False,False,TensorFlow,68774,< 5 Years
8277,1.1,True,False,False,,56580,< 5 Years
8278,10.7,True,False,True,Keras,35369,10-15 Years
8279,0.24,True,False,False,,54727,< 5 Years
8280,2.8,True,True,True,,58631,< 5 Years
8281,11.9,True,False,True,,106959,10-15 Years
8282,3.4,True,False,False,Scikit-learn,31811,< 5 Years
8283,2.7,True,False,False,Scikit-learn,56867,< 5 Years
8284,4.7,True,False,False,TensorFlow,90499,< 5 Years
8285,11.2,True,False,True,Scikit-learn,70690,10-15 Years
8286,0.9,True,False,False,,143,< 5 Years
8287,1.2,True,False,False,TensorFlow,60473,< 5 Years
8288,2.2,True,False,False,TensorFlow,672,< 5 Years
8289,8.0,True,False,True,TensorFlow,76967,5-10 Years
8290,11.2,True,False,False,Scikit-learn,450,10-15 Years
8291,0.66,True,False,True,,70787,< 5 Years
8292,3.1,True,False,True,Keras,344,< 5 Years
8293,7.9,True,False,False,,62374,5-10 Years
8294,1.7,True,False,True,Scikit-learn,548,< 5 Years
8295,16.4,True,False,True,Scikit-learn,189865,15-20 Years
8296,13.1,True,True,False,PyTorch,75890,10-15 Years
8297,1.3,True,False,True,Keras,70061,< 5 Years
8298,0.67,True,True,False,,55037,< 5 Years
8299,5.1,True,True,True,PyTorch,20727,5-10 Years
8300,1.3,True,False,True,Keras,2087,< 5 Years
8301,2.6,True,False,False,TensorFlow,63595,< 5 Years
8302,9.7,True,False,True,PyTorch,2949,5-10 Years
8303,0.0,False,False,False,,250,< 5 Years
8304,3.4,True,False,False,Scikit-learn,61899,< 5 Years
8305,1.1,True,False,False,Scikit-learn,52801,< 5 Years
8306,5.5,True,True,True,Keras,48516,5-10 Years
8307,13.5,True,False,False,PyTorch,275946,10-15 Years
8308,8.1,False,False,False,,70069,5-10 Years
8309,0.0,False,False,False,,732,< 5 Years
8310,10.5,True,False,False,Scikit-learn,13873,10-15 Years
8311,3.6,True,False,True,,14084,< 5 Years
8312,2.9,True,False,True,Keras,41439,< 5 Years
8313,1.6,False,False,True,,64335,< 5 Years
8314,4.6,True,True,False,Keras,141308,< 5 Years
8315,0.58,True,False,False,Scikit-learn,65113,< 5 Years
8316,8.1,True,False,False,Scikit-learn,48550,5-10 Years
8317,2.8,False,False,False,TensorFlow,62115,< 5 Years
8318,0.64,True,False,False,PyTorch,61139,< 5 Years
8319,0.58,True,False,True,Keras,55402,< 5 Years
8320,6.3,True,False,True,Scikit-learn,5572,5-10 Years
8321,4.8,False,False,True,,74830,< 5 Years
8322,9.2,True,False,True,Keras,58683,5-10 Years
8323,4.9,True,False,True,,55056,< 5 Years
8324,26.0,True,False,False,TensorFlow,47467,25+ Years
8325,23.2,True,True,True,Scikit-learn,63120,20-25 Years
8326,1.5,True,False,False,Scikit-learn,891,< 5 Years
8327,0.74,True,False,False,,58621,< 5 Years
8328,1.6,True,True,True,Keras,56274,< 5 Years
8329,0.56,True,False,True,,54077,< 5 Years
8330,7.6,False,True,False,,48736,5-10 Years
8331,24.0,True,False,True,TensorFlow,2184,20-25 Years
8332,1.9,True,True,True,TensorFlow,73648,< 5 Years
8333,0.53,True,False,False,,58058,< 5 Years
8334,0.63,True,False,False,TensorFlow,13609,< 5 Years
8335,1.1,False,False,False,Scikit-learn,68858,< 5 Years
8336,9.8,False,False,True,TensorFlow,54617,5-10 Years
8337,8.6,True,False,True,,57534,5-10 Years
8338,0.35,True,False,True,Scikit-learn,191,< 5 Years
8339,0.99,True,False,False,,54903,< 5 Years
8340,1.0,True,False,False,Scikit-learn,51378,< 5 Years
8341,18.6,True,True,False,Scikit-learn,25306,15-20 Years
8342,0.43,True,False,False,,55281,< 5 Years
8343,0.9,True,False,False,TensorFlow,61122,< 5 Years
8344,0.95,True,False,False,,52826,< 5 Years
8345,0.0,False,False,False,,61156,< 5 Years
8346,1.5,True,True,True,TensorFlow,65941,< 5 Years
8347,1.8,True,False,False,Scikit-learn,80101,< 5 Years
8348,12.2,True,False,True,Scikit-learn,117145,10-15 Years
8349,18.2,True,True,True,TensorFlow,2343,15-20 Years
8350,1.2,True,False,True,Keras,65770,< 5 Years
8351,0.65,True,False,True,,71472,< 5 Years
8352,3.6,True,False,False,,39991,< 5 Years
8353,2.3,True,False,False,,74634,< 5 Years
8354,5.6,True,True,True,Scikit-learn,2766,5-10 Years
8355,5.2,True,False,False,TensorFlow,17291,5-10 Years
8356,13.0,True,False,False,PyTorch,75165,10-15 Years
8357,3.0,True,False,True,Keras,72949,< 5 Years
8358,0.3,True,True,True,Scikit-learn,74068,< 5 Years
8359,2.6,True,False,True,Scikit-learn,638,< 5 Years
8360,20.1,True,False,True,Keras,87531,20-25 Years
8361,12.9,True,False,False,Scikit-learn,3492,10-15 Years
8362,1.7,True,False,False,TensorFlow,1154,< 5 Years
8363,0.71,True,False,False,TensorFlow,55650,< 5 Years
8364,14.1,True,False,True,Scikit-learn,176824,10-15 Years
8365,0.42,True,False,False,Keras,71915,< 5 Years
8366,2.2,True,False,False,,58740,< 5 Years
8367,3.7,True,False,False,TensorFlow,60854,< 5 Years
8368,0.0,False,False,False,,43471,< 5 Years
8369,1.0,False,False,False,,73095,< 5 Years
8370,3.0,True,True,True,Scikit-learn,70271,< 5 Years
8371,0.85,True,False,True,Keras,64939,< 5 Years
8372,6.5,True,True,True,Scikit-learn,904,5-10 Years
8373,2.6,True,True,False,Keras,53410,< 5 Years
8374,0.0,False,False,False,,7441,< 5 Years
8375,0.84,True,False,False,Scikit-learn,1032,< 5 Years
8376,10.0,True,True,True,Scikit-learn,169040,5-10 Years
8377,7.2,True,True,True,PyTorch,74599,5-10 Years
8378,1.1,True,False,True,TensorFlow,3340,< 5 Years
8379,8.2,True,False,False,PyTorch,112117,5-10 Years
8380,0.87,True,False,False,PyTorch,6416,< 5 Years
8381,0.43,True,False,False,,56468,< 5 Years
8382,0.87,True,False,False,Scikit-learn,1033,< 5 Years
8383,0.21,True,False,True,,59405,< 5 Years
8384,3.0,True,False,True,,62691,< 5 Years
8385,8.2,True,False,False,,67498,5-10 Years
8386,0.0,False,False,False,,366327,< 5 Years
8387,1.4,True,False,False,TensorFlow,51543,< 5 Years
8388,4.1,True,False,False,Keras,9758,< 5 Years
8389,8.6,True,False,True,TensorFlow,72401,5-10 Years
8390,9.1,True,False,False,Keras,54644,5-10 Years
8391,0.0,False,False,False,,914,< 5 Years
8392,4.7,True,False,True,Keras,72929,< 5 Years
8393,1.4,False,True,False,,70340,< 5 Years
8394,1.9,True,False,True,,66565,< 5 Years
8395,2.2,True,False,False,Scikit-learn,10346,< 5 Years
8396,5.3,True,False,False,Scikit-learn,65398,5-10 Years
8397,0.62,True,False,False,,387,< 5 Years
8398,20.0,False,False,True,,60495,15-20 Years
8399,0.82,True,False,False,Scikit-learn,4062,< 5 Years
8400,0.64,True,True,True,,64929,< 5 Years
8401,2.1,True,True,False,Scikit-learn,1728,< 5 Years
8402,21.4,True,False,True,,43987,20-25 Years
8403,0.5,True,False,True,PyTorch,820,< 5 Years
8404,0.0,False,False,False,,10794,< 5 Years
8405,2.3,True,True,True,Keras,132,< 5 Years
8406,0.27,True,False,False,,73338,< 5 Years
8407,0.5,True,False,False,,65383,< 5 Years
8408,15.6,True,False,False,PyTorch,80605,15-20 Years
8409,0.29,True,False,False,,52948,< 5 Years
8410,0.47,True,False,True,Scikit-learn,4372,< 5 Years
8411,1.6,False,False,False,,120947,< 5 Years
8412,2.7,True,False,False,,20,< 5 Years
8413,2.1,True,False,False,,54017,< 5 Years
8414,0.64,True,True,True,,59963,< 5 Years
8415,1.8,True,False,True,,71906,< 5 Years
8416,20.0,True,True,False,Scikit-learn,152979,15-20 Years
8417,14.1,False,False,True,,51225,10-15 Years
8418,0.97,False,False,False,,269,< 5 Years
8419,27.9,True,False,True,Scikit-learn,277890,25+ Years
8420,0.51,True,False,True,,84,< 5 Years
8421,12.7,True,False,False,Keras,108303,10-15 Years
8422,0.62,True,False,False,PyTorch,71366,< 5 Years
8423,2.1,True,False,False,Keras,56558,< 5 Years
8424,0.71,True,False,True,,1163,< 5 Years
8425,27.7,False,False,False,,500,25+ Years
8426,25.7,True,False,False,Keras,593,25+ Years
8427,4.9,True,False,True,,7094,< 5 Years
8428,1.1,True,False,True,,1883,< 5 Years
8429,0.0,False,False,False,,25567,< 5 Years
8430,4.1,True,False,True,Scikit-learn,178663,< 5 Years
8431,8.9,True,False,True,Keras,10166,5-10 Years
8432,1.7,True,False,False,Scikit-learn,74542,< 5 Years
8433,0.78,True,True,True,PyTorch,67084,< 5 Years
8434,3.2,True,True,False,PyTorch,28881,< 5 Years
8435,2.9,True,False,False,,71967,< 5 Years
8436,0.92,True,False,True,,681,< 5 Years
8437,4.1,True,False,False,Scikit-learn,61197,< 5 Years
8438,0.0,False,False,False,,28022,< 5 Years
8439,0.0,False,False,False,,4036,< 5 Years
8440,19.7,True,False,True,Scikit-learn,239455,15-20 Years
8441,19.6,True,True,False,Keras,31493,15-20 Years
8442,4.0,True,False,False,Scikit-learn,61730,< 5 Years
8443,0.93,True,True,True,,979,< 5 Years
8444,2.5,True,True,True,Keras,918,< 5 Years
8445,0.84,True,False,False,TensorFlow,1747,< 5 Years
8446,1.1,False,True,True,,34959,< 5 Years
8447,8.5,True,False,True,Scikit-learn,2559,5-10 Years
8448,0.21,True,False,False,,74007,< 5 Years
8449,2.0,True,False,False,,6029,< 5 Years
8450,3.0,True,False,False,,1032,< 5 Years
8451,4.8,True,False,False,Scikit-learn,73786,< 5 Years
8452,3.5,True,False,True,,3102,< 5 Years
8453,5.8,True,True,True,Keras,93834,5-10 Years
8454,2.3,True,False,False,PyTorch,53117,< 5 Years
8455,4.7,True,False,False,Keras,62129,< 5 Years
8456,12.0,True,False,False,TensorFlow,1126,10-15 Years
8457,15.8,True,False,True,,35880,15-20 Years
8458,0.0,False,False,False,,124209,< 5 Years
8459,3.4,True,False,True,Scikit-learn,52725,< 5 Years
8460,1.0,False,False,False,,66605,< 5 Years
8461,0.0,False,False,False,,73565,< 5 Years
8462,21.2,True,False,True,Scikit-learn,25948,20-25 Years
8463,2.1,True,False,True,Scikit-learn,61729,< 5 Years
8464,11.9,True,False,True,,8456,10-15 Years
8465,26.9,False,False,True,,48394,25+ Years
8466,4.8,False,True,True,,51742,< 5 Years
8467,0.84,True,False,False,,74503,< 5 Years
8468,0.8,True,False,False,,759,< 5 Years
8469,0.0,False,False,False,,6508,< 5 Years
8470,3.8,True,True,False,Scikit-learn,54522,< 5 Years
8471,0.74,True,True,True,,115,< 5 Years
8472,0.35,True,True,True,,54014,< 5 Years
8473,2.8,True,False,False,TensorFlow,454,< 5 Years
8474,13.9,True,False,False,,58682,10-15 Years
8475,3.9,True,False,False,Scikit-learn,69501,< 5 Years
8476,14.9,True,True,True,Scikit-learn,59,10-15 Years
8477,11.9,True,False,False,Scikit-learn,1668,10-15 Years
8478,28.6,True,False,True,Scikit-learn,34556,25+ Years
8479,25.5,False,True,False,,20121,25+ Years
8480,0.0,False,False,False,,44629,< 5 Years
8481,0.32,True,False,False,,67,< 5 Years
8482,4.0,True,False,True,Scikit-learn,37829,< 5 Years
8483,5.0,True,False,True,Scikit-learn,89581,< 5 Years
8484,18.9,True,False,True,Scikit-learn,4375,15-20 Years
8485,1.4,True,True,False,Scikit-learn,4456,< 5 Years
8486,2.9,True,False,False,Scikit-learn,67811,< 5 Years
8487,26.3,True,False,False,PyTorch,202563,25+ Years
8488,18.4,False,False,False,,63901,15-20 Years
8489,1.5,True,False,False,TensorFlow,218,< 5 Years
8490,7.9,True,True,True,Scikit-learn,17421,5-10 Years
8491,1.3,True,False,False,Scikit-learn,10059,< 5 Years
8492,2.1,False,False,True,,55968,< 5 Years
8493,19.0,True,True,False,Scikit-learn,242430,15-20 Years
8494,4.4,True,False,True,Scikit-learn,20563,< 5 Years
8495,3.7,True,False,True,Scikit-learn,54592,< 5 Years
8496,13.6,True,False,False,Scikit-learn,73961,10-15 Years
8497,0.64,True,False,True,Scikit-learn,697,< 5 Years
8498,0.54,True,False,False,PyTorch,310,< 5 Years
8499,1.5,True,False,True,Scikit-learn,2902,< 5 Years
8500,0.98,True,False,False,TensorFlow,54180,< 5 Years
8501,3.0,True,False,True,Scikit-learn,59970,< 5 Years
8502,16.2,True,False,False,Scikit-learn,87149,15-20 Years
8503,0.44,True,True,False,,3768,< 5 Years
8504,4.5,False,False,False,Scikit-learn,57068,< 5 Years
8505,1.3,True,False,False,Keras,51373,< 5 Years
8506,23.9,True,False,False,Keras,22386,20-25 Years
8507,7.4,True,False,True,,55988,5-10 Years
8508,8.1,True,False,True,Scikit-learn,192237,5-10 Years
8509,4.0,True,False,False,TensorFlow,40,< 5 Years
8510,0.89,True,False,True,Scikit-learn,33,< 5 Years
8511,1.4,True,False,True,,72576,< 5 Years
8512,3.4,True,True,True,PyTorch,883,< 5 Years
8513,2.0,True,False,False,Scikit-learn,700,< 5 Years
8514,0.59,True,True,False,TensorFlow,71529,< 5 Years
8515,0.23,True,False,False,,59496,< 5 Years
8516,3.6,True,False,False,PyTorch,11024,< 5 Years
8517,3.0,True,False,False,Scikit-learn,4038,< 5 Years
8518,10.5,True,False,True,,67340,10-15 Years
8519,6.2,True,False,False,Keras,59803,5-10 Years
8520,1.9,True,False,False,Scikit-learn,68951,< 5 Years
8521,4.0,True,False,True,Scikit-learn,45866,< 5 Years
8522,0.96,True,False,False,,90,< 5 Years
8523,2.2,False,True,False,,36785,< 5 Years
8524,7.9,True,True,True,TensorFlow,85594,5-10 Years
8525,0.36,True,False,False,TensorFlow,70898,< 5 Years
8526,8.9,True,False,False,PyTorch,106185,5-10 Years
8527,18.3,True,False,True,,22680,15-20 Years
8528,0.98,False,False,False,Scikit-learn,243815,< 5 Years
8529,9.9,True,True,True,Scikit-learn,1950,5-10 Years
8530,24.0,True,False,True,TensorFlow,228040,20-25 Years
8531,0.0,False,False,False,,2159,< 5 Years
